------------------------------------------------------------------
--- clusters of operations----------------------------------------
--- name, n problems calculated, avg z-scored u-stat
------------------------------------------------------------------
***CO_Embed2_Basic_tau_incircle_1,85,-2.35
CO_Embed2_Basic_tau_incircle_05,85,-2.15
CO_Embed2_Basic_tau_medianincircle,85,-2.06
CO_Embed2_Basic_tau_incircle_02,84,-1.27
------------------------------------------------------------------
CO_Embed2_Basic_tau_parabup05_1,85,-2.51
DN_RemovePoints_absfar_01_fzcacrat,85,-2.39
CO_Embed2_Basic_tau_updiag05,85,-2.36
***CO_Embed2_Basic_tau_incircle_2,85,-2.35
CO_Embed2_Basic_tau_updiag01,85,-2.35
CO_Embed2_Basic_tau_parabup01,85,-2.28
DN_RemovePoints_max_01_fzcacrat,85,-2.12
CO_Embed2_Basic_tau_parabdown05_1,85,-2.10
SB_TransitionMatrix_5ac_sumdiagcov,84,-2.07
CO_Embed2_Basic_tau_parabup05_n1,85,-2.05
SB_TransitionMatrix_2ac_sumdiagcov,84,-2.03
SB_TransitionMatrix_3ac_stdeigcov,84,-1.97
SB_TransitionMatrix_3ac_maxeigcov,84,-1.97
SB_TransitionMatrix_3ac_sumdiagcov,84,-1.95
SB_TransitionMatrix_5ac_stdeigcov,84,-1.93
SB_TransitionMatrix_3ac_stdeig,84,-1.91
EN_PermEn_2_ac_normPermEn,85,-1.84
CO_Embed2_Basic_tau_parabdown01,85,-1.82
CO_Embed2_Basic_tau_parabdown01_1,85,-1.82
SB_TransitionMatrix_5ac_maxeigcov,84,-1.80
CO_Embed2_Basic_tau_ring1_05,85,-1.77
CO_Embed2_Basic_tau_parabup01_n1,85,-1.77
SB_TransitionMatrix_4ac_maxeigcov,84,-1.75
SB_TransitionMatrix_4ac_sumdiagcov,84,-1.71
SB_TransitionMatrix_2ac_ondiag,84,-1.71
SB_TransitionMatrix_2ac_T3,84,-1.63
SB_TransitionMatrix_3ac_mineig,84,-1.61
SB_TransitionMatrix_4ac_stdeig,84,-1.59
SB_TransitionMatrix_4ac_stdeigcov,84,-1.54
SB_TransitionMatrix_2ac_T2,84,-1.53
SB_TransitionMatrix_5ac_stdeig,84,-1.52
CO_Embed2_Basic_tau_ring1_01,85,-1.52
SB_TransitionMatrix_2ac_T1,84,-1.50
CO_Embed2_Basic_tau_ring1_02,85,-1.49
SB_TransitionMatrix_4ac_maxeig,84,-1.49
SB_TransitionMatrix_3ac_maxeig,84,-1.49
SB_TransitionMatrix_2ac_T4,84,-1.47
SB_TransitionMatrix_3ac_symdiff,84,-1.46
PH_ForcePotential_sine_3_05_1_proppos,85,-1.44
SB_TransitionMatrix_3ac_ondiag,84,-1.35
SB_TransitionMatrix_5ac_maxeig,84,-1.24
SB_TransitionMatrix_3ac_T3,84,-1.02
------------------------------------------------------------------
SP_Summaries_welch_rect_wmax_90,85,-1.75
SP_Summaries_welch_rect_w10_90,85,-1.69
SP_Summaries_welch_rect_wmax_95,84,-1.68
FC_LocalSimple_mean4_taures,84,-1.58
FC_LocalSimple_median5_taures,84,-1.46
***FC_LocalSimple_mean1_taures,80,-1.42
FC_LocalSimple_mean2_taures,81,-1.37
FC_LocalSimple_median7_taures,83,-1.37
FC_LocalSimple_mean3_taures,84,-1.37
SP_Summaries_pgram_hamm_wmax_99,84,-1.35
FC_LocalSimple_median3_taures,83,-1.35
SP_Summaries_welch_rect_wmax_99,85,-1.32
SP_Summaries_pgram_hamm_tau,84,-1.27
NW_VisibilityGraph_norm_mediank,84,-1.19
------------------------------------------------------------------
***SY_SpreadRandomLocal_ac2_100_meantaul,82,-2.06
